timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_155746,caltech_120,regnet,cnn,NT,test_accuracy_macro,gaussian,15.0,0.28131529688835144
20241028_102326,deepglobe,resnet,cnn,NT,test_mAP_macro,gaussian,0.0,0.690414547920227
20241028_162754,caltech_120,inception,cnn,NT,test_accuracy_macro,gaussian,1.0,0.34333908557891846
20241028_132513,bigearthnet,regnety,cnn,NT,test_mAP_macro,channel_shuffle,12,0.24021394550800323
20241028_172309,caltech_120,convmixer,transformer,NT,test_accuracy_macro,channel_inversion,12,0.05434530973434448
20241028_142109,bigearthnet,cait,transformer,NT,test_mAP_macro,sobel,3,0.26216813921928406
20241028_134321,caltech,regnet,cnn,NT,test_accuracy_macro,patch_rotation,4,0.3387787640094757
20241004_104235,deepglobe,resnet,cnn,ST,test_mAP_macro,,,0.7297384142875671
20241028_121015,deepglobe,deit,transformer,NT,test_mAP_macro,bilateral,3,0.2358330488204956
20241028_133212,caltech,convnext,cnn,NT,test_accuracy_macro,bilateral,0,0.516586184501648
20241028_154336,caltech_120,efficientnet,cnn,NT,test_accuracy_macro,median,5,0.3649432957172394
20241028_144036,rgb_bigearthnet,pvt,transformer,NT,test_mAP_macro,patch_rotation,8,0.6126983761787415
20241028_130248,rgb_bigearthnet,inception,cnn,NT,test_mAP_macro,patch_rotation,8,0.5409395098686218
20241028_123411,imagenet,densenet,cnn,PT,test_accuracy_macro,gaussian,9.0,0.08840973675251007
20241028_150638,bigearthnet,pit,transformer,NT,test_mAP_macro,channel_inversion,6,0.18838338553905487
20241028_142839,caltech,vit,transformer,NT,test_accuracy_macro,median,3,0.5260629653930664
20241028_141925,caltech,inception,cnn,NT,test_accuracy_macro,patch_rotation,11,0.43028855323791504
20241028_160351,caltech_120,densenet,cnn,NT,test_accuracy_macro,gaussian,9.0,0.08565135300159454
20241028_142337,caltech,regnety,cnn,NT,test_accuracy_macro,gaussian,3.0,0.44443804025650024
20241028_111946,rgb_bigearthnet,regnet,cnn,NT,test_mAP_macro,median,5,0.43673989176750183
20241028_144208,rgb_bigearthnet,pvt,transformer,NT,test_mAP_macro,channel_shuffle,2,0.38956841826438904
20241004_154207,caltech,regnet,cnn,ST,test_accuracy_macro,,,0.5146262049674988
20241028_164748,caltech_120,deit,transformer,NT,test_accuracy_macro,channel_shuffle,2,0.25007331371307373
20241028_154048,caltech_120,resnet,cnn,NT,test_accuracy_macro,channel_shuffle,0,0.6652882099151611
20241028_130513,rgb_bigearthnet,inception,cnn,NT,test_mAP_macro,channel_shuffle,12,0.3326472342014313
20241028_161510,caltech_120,mobilenet,cnn,NT,test_accuracy_macro,median,3,0.37277334928512573
20241028_132559,caltech,efficientnet,cnn,NT,test_accuracy_macro,median,0,0.4717964828014374
20241028_125313,deepglobe,beit,transformer,NT,test_mAP_macro,median,5,0.22899696230888367
20241028_122612,deepglobe,cait,transformer,NT,test_mAP_macro,patch_shuffle,4,0.6925634145736694
20241028_143119,bigearthnet,pvt,transformer,NT,test_mAP_macro,bilateral,3,0.6808557510375977
20241028_190437,imagenet,convmixer,transformer,PT,test_accuracy_macro,channel_inversion,12,0.8079158067703247
20241028_161240,caltech_120,resnext,cnn,NT,test_accuracy_macro,channel_shuffle,0,0.6356489658355713
20241028_141026,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,bilateral,5,0.5803537964820862
20241028_191455,imagenet,mvit,transformer,PT,test_accuracy_macro,gaussian,1.0,0.7649624347686768
20241028_140301,bigearthnet,deit,transformer,NT,test_mAP_macro,greyscale,1,0.2512029707431793
20241028_115943,rgb_bigearthnet,resnext,cnn,NT,test_mAP_macro,median,5,0.4108975827693939
20241028_131535,deepglobe,convmixer,transformer,NT,test_mAP_macro,greyscale,1,0.3941093683242798
20241028_115745,deepglobe,regnety,cnn,NT,test_mAP_macro,patch_rotation,1,0.6937974691390991
20241028_120445,deepglobe,vit,transformer,NT,test_mAP_macro,gaussian,9.0,0.49677419662475586
20241028_162830,caltech_120,inception,cnn,NT,test_accuracy_macro,gaussian,15.0,0.06601900607347488
20241028_143542,rgb_bigearthnet,pvt,transformer,NT,test_mAP_macro,gaussian,15.0,0.2820931077003479
20241028_141844,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,patch_shuffle,2,0.5868584513664246
20241028_104748,deepglobe,convnext,cnn,NT,test_mAP_macro,patch_rotation,15,0.6160630583763123
20241028_111453,deepglobe,resnext,cnn,NT,test_mAP_macro,gaussian,1.0,0.5455824136734009
20241028_092926,imagenet,resnet,cnn,PT,test_accuracy_macro,gaussian,9.0,0.0952545553445816
20241028_154956,bigearthnet,convmixer,transformer,NT,test_mAP_macro,channel_inversion,12,0.19843333959579468
20241028_132213,caltech,resnet,cnn,NT,test_accuracy_macro,patch_rotation,4,0.4396606683731079
20241028_140809,caltech,xception,cnn,NT,test_accuracy_macro,bilateral,15,0.4437049925327301
20241028_093340,imagenet,resnet,cnn,PT,test_accuracy_macro,patch_shuffle,4,0.6555578112602234
20241028_125134,deepglobe,beit,transformer,NT,test_mAP_macro,bilateral,9,0.22644412517547607
20241028_163628,imagenet,swin,transformer,PT,test_accuracy_macro,patch_rotation,8,0.5443742275238037
20241028_103700,rgb_bigearthnet,efficientnet,cnn,NT,test_mAP_macro,bilateral,3,0.456275075674057
20241028_113436,rgb_bigearthnet,regnet,cnn,NT,test_mAP_macro,greyscale,0,0.6089864373207092
20241028_115641,deepglobe,regnety,cnn,NT,test_mAP_macro,patch_shuffle,2,0.6834739446640015
20241028_161518,caltech_120,mobilenet,cnn,NT,test_accuracy_macro,median,5,0.3632323443889618
20241028_165651,caltech_120,pvt,transformer,NT,test_accuracy_macro,bilateral,3,0.686231791973114
20241028_143315,caltech,vit,transformer,NT,test_accuracy_macro,channel_inversion,12,0.03309961035847664
20241028_144607,bigearthnet,pvt,transformer,NT,test_mAP_macro,channel_shuffle,2,0.4090813100337982
20241028_133256,caltech,convnext,cnn,NT,test_accuracy_macro,bilateral,31,0.5552689433097839
20241028_154241,caltech_120,efficientnet,cnn,NT,test_accuracy_macro,bilateral,5,0.3324774205684662
20241028_124753,rgb_bigearthnet,xception,cnn,NT,test_mAP_macro,channel_inversion,0,0.6383288502693176
20241028_134208,caltech,regnet,cnn,NT,test_accuracy_macro,sobel,3,0.035834554582834244
20241028_180115,imagenet,pit,transformer,PT,test_accuracy_macro,channel_inversion,6,0.6322160959243774
20241028_143006,caltech,vit,transformer,NT,test_accuracy_macro,gaussian,15.0,0.3292284309864044
20241028_122109,deepglobe,cait,transformer,NT,test_mAP_macro,bilateral,5,0.24851033091545105
20241028_162241,caltech_120,xception,cnn,NT,test_accuracy_macro,patch_shuffle,1,0.7439371347427368
20241004_162837,caltech,cait,transformer,ST,test_accuracy_macro,,,0.4662453532218933
20241028_121227,deepglobe,deit,transformer,NT,test_mAP_macro,median,31,0.2290624976158142
20241028_185201,imagenet,convmixer,transformer,PT,test_accuracy_macro,patch_shuffle,15,0.025520792230963707
20241028_104321,deepglobe,convnext,cnn,NT,test_mAP_macro,median,31,0.2290624976158142
20241028_115104,bigearthnet,densenet,cnn,NT,test_mAP_macro,patch_rotation,8,0.6492485404014587
20241028_153439,caltech,mvit,transformer,NT,test_accuracy_macro,channel_shuffle,6,0.4316672682762146
20241028_110337,bigearthnet,convnext,cnn,NT,test_mAP_macro,median,31,0.5021595358848572
20241028_140635,caltech,mobilenet,cnn,NT,test_accuracy_macro,channel_inversion,1,0.08899328112602234
20241028_173225,imagenet,pvt,transformer,PT,test_accuracy_macro,channel_shuffle,0,0.8794997930526733
20241028_124216,deepglobe,pit,transformer,NT,test_mAP_macro,bilateral,5,0.232034370303154
20241028_170306,caltech_120,pit,transformer,NT,test_accuracy_macro,bilateral,3,0.6376807689666748
20241028_152720,caltech,convmixer,transformer,NT,test_accuracy_macro,channel_inversion,2,0.05830392986536026
20241028_092516,imagenet,resnet,cnn,PT,test_accuracy_macro,gaussian,0.0,0.8804224133491516
20241028_125601,imagenet,resnext,cnn,PT,test_accuracy_macro,bilateral,15,0.45274683833122253
20241028_162851,imagenet,swin,transformer,PT,test_accuracy_macro,gaussian,9.0,0.1106049120426178
20241028_171933,caltech_120,convmixer,transformer,NT,test_accuracy_macro,sobel,3,0.03221822530031204
20241028_131141,rgb_bigearthnet,regnety,cnn,NT,test_mAP_macro,median,5,0.4318433403968811
20241028_121327,rgb_bigearthnet,resnext,cnn,NT,test_mAP_macro,channel_inversion,6,0.2925785779953003
20241028_140245,imagenet,xception,cnn,PT,test_accuracy_macro,median,15,0.12581861019134521
20241028_103723,rgb_bigearthnet,efficientnet,cnn,NT,test_mAP_macro,bilateral,5,0.36418023705482483
